p_leak,tau,lens_type,lens_id,rm,stability,error
0.05,4,random,19,0.018225,0.5,0.4975
0.05,4,random,2,0.018225,0.5,0.4975
0.05,4,random,20,6.93889390391e-17,0.82805,0.17195
0.05,4,random,21,6.93889390391e-17,0.82805,0.17195
0.05,4,random,22,0.003645,0.5,0.4875
0.05,4,random,23,0.003645,0.5,0.4875
0.05,4,random,24,0.018225,0.5,0.4975
0.05,4,random,25,0.003645,0.5,0.4875
0.05,4,random,26,0.003645,0.5,0.4875
0.05,4,random,27,0.003645,0.5,0.4875
0.05,4,random,28,6.93889390391e-17,0.82805,0.17195
0.05,4,random,29,6.93889390391e-17,0.82805,0.17195
0.05,4,random,3,0.018225,0.5,0.4975
0.05,4,random,30,0.003645,0.5,0.4875
0.05,4,random,31,0.003645,0.5,0.4875
0.05,4,random,32,0.018225,0.5,0.4975
0.05,4,random,33,0.003645,0.5,0.4875
0.05,4,random,34,6.93889390391e-17,0.82805,0.17195
0.05,4,random,35,6.93889390391e-17,0.82805,0.17195
0.05,4,random,36,6.93889390391e-17,0.82805,0.17195
0.05,4,random,37,6.93889390391e-17,0.82805,0.17195
0.05,4,random,38,0.003645,0.5,0.4875
0.05,4,random,39,6.93889390391e-17,0.82805,0.17195
0.05,4,random,4,0.018225,0.5,0.4975
0.05,4,random,40,6.93889390391e-17,0.82805,0.17195
0.05,4,random,41,0.018225,0.5,0.4975
0.05,4,random,42,0.003645,0.5,0.4875
0.05,4,random,43,0.018225,0.5,0.4975
0.05,4,random,44,0.003645,0.5,0.4875
0.05,4,random,45,0.003645,0.5,0.4875
0.05,4,random,46,0.003645,0.5,0.4875
0.05,4,random,47,0.018225,0.5,0.4975
0.05,4,random,48,0.003645,0.5,0.4875
0.05,4,random,49,6.93889390391e-17,0.82805,0.17195
0.05,4,random,5,0.003645,0.5,0.4875
0.05,4,random,50,0.003645,0.5,0.4875
0.05,4,random,51,0.018225,0.5,0.4975
0.05,4,random,52,0.018225,0.5,0.4975
0.05,4,random,53,0.018225,0.5,0.4975
0.05,4,random,54,0.003645,0.5,0.4875
0.05,4,random,55,0.018225,0.5,0.4975
0.05,4,random,56,6.93889390391e-17,0.82805,0.17195
0.05,4,random,57,0.018225,0.5,0.4975
0.05,4,random,58,6.93889390391e-17,0.82805,0.17195
0.05,4,random,59,6.93889390391e-17,0.82805,0.17195
0.05,4,random,6,0.003645,0.5,0.4875
0.05,4,random,7,0.003645,0.5,0.4875
0.05,4,random,8,6.93889390391e-17,0.82805,0.17195
0.05,4,random,9,6.93889390391e-17,0.82805,0.17195
0.1,1,and,,0.253333333333,0.715,0.323333333333
0.1,1,parity,,0,0.9,0.1
0.1,1,random,0,0.01,0.5,0.475
0.1,1,random,1,0,0.9,0.1
0.1,1,random,10,0.05,0.5,0.495
0.1,1,random,11,0.05,0.5,0.495
0.1,1,random,12,0.05,0.5,0.495
0.1,1,random,13,0.05,0.5,0.495
0.1,1,random,14,0.01,0.5,0.475
0.1,1,random,15,0.05,0.5,0.495
0.1,1,random,16,0.05,0.5,0.495
0.1,1,random,17,0,0.9,0.1
0.1,1,random,18,0.01,0.5,0.475
0.1,1,random,19,0.05,0.5,0.495
0.1,1,random,2,0.05,0.5,0.495
0.1,1,random,20,0,0.9,0.1
0.1,1,random,21,0.05,0.5,0.495
0.1,1,random,22,0.01,0.5,0.475
0.1,1,random,23,0.05,0.5,0.495
0.1,1,random,24,0.05,0.5,0.495
0.1,1,random,25,0,0.9,0.1
0.1,1,random,26,0.01,0.5,0.475
0.1,1,random,27,0.05,0.5,0.495
0.1,1,random,28,0,0.9,0.1
0.1,1,random,29,0,0.9,0.1
0.1,1,random,3,0.01,0.5,0.475
0.1,1,random,30,0.01,0.5,0.475
0.1,1,random,31,0.05,0.5,0.495
